match_id,defender_id,defender_name,passes_against_on_field
3840,4734,Filip Kostic,352
3840,5074,Bryan Mbeumo,427
3840,6655,Nicolas N'Koulou,522
3840,8037,Dusan Tadić,367
3840,8631,Georges-Kevin N'Koudou,95
3840,8741,Gael Ondoua,180
3840,9947,Milos Veljkovic,304
3839,13178,Nico Williams,128
3839,1341,Unai Simon,360
3839,1383,Koke,128
3839,1394,Alvaro Morata,160
3839,1513,Jordi Alba,327
3839,1519,Sergio Busquets,360
3839,1530,Pedri,360
3839,1682,Daniel Carvajal,360
3839,1696,Marco Asensio,232
3839,18,Rodri,360
3839,1950,Ferran Torres,200
3839,20,Ilkay Gündogan,494
3839,26,Leroy Sané,153
3839,3849,Thilo Kehrer,494
3839,4602,Manuel Neuer,647
3839,4608,Niklas Süle,647
3839,4616,Joshua Kimmich,647
3839,4618,Leon Goretzka,647
3839,4621,Jamal Musiala,647
3839,4623,Serge Gnabry,573
3839,4624,Thomas Müller,494
3839,4713,Jonas Hofmann,74
3839,4779,Nico Schlotterbeck,61
3839,4868,David Raum,586
3839,4897,Lukas Klostermann,153
3839,4908,Dani Olmo,360
3839,8341,Gavi,232
3839,8344,Alex Balde,33
3839,9,Aymeric Laporte,360
3839,90,Antonio Rüdiger,647
3839,9963,Niclas Fullkrug,153
3838,100,Mateo Kovacic,443
3838,1025,Kamal Miller,472
3838,11790,Steven Vitoria,472
3838,1225,Richie Laryea,373
3838,1228,Jonathan Osorio,187
3838,12315,Sam Adekugbe,62
3838,1267,Lucas Cavallini,62
3838,13854,Dominik Livakovic,503
3838,13858,Josip Juranovic,503
3838,13859,Mislav Orsic,60
3838,13860,Marko Livaja,318
3838,13861,Bruno Petkovic,185
3838,14031,Milan Borjan,472
3838,1687,Luka Modric,443
3838,3965,Jonathan David,410
3838,40,Dejan Lovren,503
3838,4611,Alphonso Davies,472
3838,4883,Andrej Kramaric,374
3838,4892,Josko Gvardiol,503
3838,4926,Borna Sosa,503
3838,5173,Ismael Kone,187
3838,5968,Lovro Majer,60
3838,6019,Nikola Vlasic,129
3838,6916,Junior Hoilett,99
3838,8129,Marcelo Brozovic,503
3838,8136,Ivan Perisic,443
3838,8330,Mario Pasalic,60
3838,8551,Stephen Eustaquio,285
3838,8627,Atiba Hutchinson,410
3838,9094,Cyle Larin,285
3838,926,Alistair Johnston,472
3838,963,Tajon Buchanan,472
3837,112,Michy Batshuayi,286
3837,11994,Dries Mertens,101
3837,12586,Sofyan Amrabat,671
3837,12777,Abdelhamid Sabiri,166
3837,13044,Jawad El Yamiq,109
3837,13862,Munir,671
3837,13864,Yahia Attiat-Allah,166
3837,13866,Selim Amallah,505
3837,13870,Abderrazak Hamdallah,139
